Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Bracken Kearns,819,2013,31,SJS,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,12:04,0,3,0,0,,kearnbr01
Shawn Lalonde,820,2013,22,CHI,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,15,14:47,0,3,0,0,,lalonsh01
Johan Larsson,821,2013,20,MIN,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,14,14:02,1,2,0,0,,larssjo02
Steve MacIntyre,822,2013,32,PIT,LW,1,0,0,0,0,12,0.0,0,0,0,0,0,0,0,0,,5,4:31,0,2,0,0,,macinst01
Andy Miele,823,2013,24,PHX,C,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,,9,9:02,0,2,2,1,66.7,mielean01
Andrew Murray,824,2013,31,STL,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,8,7:49,0,1,0,0,,murraan01
Toby Petersen,825,2013,34,DAL,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:40,0,1,1,1,50.0,peterto01
Nicholas Petrecki,826,2013,23,SJS,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,11:58,2,1,0,0,,petreni01
Brandon Pirri,827,2013,21,CHI,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,18,17:55,1,1,6,8,42.9,pirribr01
Mathieu Roy,828,2013,29,TBL,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,14:07,0,0,0,0,,royma01
Cameron Schilling,829,2013,24,WSH,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,12,11:58,1,0,0,0,,schilca01
Brandon Segal,830,2013,29,NYR,RW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,5,5:21,1,0,0,0,,segalbr01
Riley Sheahan,831,2013,21,DET,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,6:47,0,0,0,1,0.0,sheahri01
Jody Shelley,832,2013,36,PHI,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,7:58,0,3,0,0,,shelljo01
Trevor Smith,833,2013,27,PIT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,10,10:24,1,0,0,0,,smithtr01
Ryan Stanton,834,2013,23,CHI,D,1,0,0,0,1,2,0.1,0,0,0,0,0,0,0,1,0.0,17,17:05,2,1,0,0,,stantry01
Bill Sweatt,835,2013,24,VAN,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,12,12:24,0,0,0,0,,sweatbi01
Christian Thomas,836,2013,20,NYR,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,13,12:46,0,3,0,0,,thomach01
Alexander Urbom,837,2013,22,NJD,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,14:11,1,1,0,0,,urbomal01
Francis Wathier,838,2013,28,DAL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,6,5:40,0,5,0,2,0.0,wathifr01
J.T. Wyman,839,2013,26,TBL,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,13:31,0,0,7,4,63.6,wymanja01
