Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,-9999
Joe Corvo,194,2007,29,OTT,D,76,8,29,37,8,42,5.6,5,3,0,2,17,12,0,160,5.0,1373,18:04,corvojo01
Radek Dvořák,195,2007,29,STL,RW,82,10,27,37,-6,48,2.2,8,1,1,1,19,8,0,139,7.2,1282,15:38,dvorara01
Filip Kuba,196,2007,30,TBL,D,81,15,22,37,-9,36,6.3,9,5,1,2,8,13,1,106,14.2,1637,20:12,kubafi01
Ville Peltonen,197,2007,33,FLA,LW,72,17,20,37,7,28,3.5,13,4,0,0,17,2,1,145,11.7,1182,16:25,peltovi01
Taylor Pyatt,198,2007,25,VAN,LW,76,23,14,37,5,42,4.7,14,9,0,4,12,2,0,150,15.3,1061,13:58,pyattta01
Alexander Radulov,199,2007,20,NSH,RW,64,18,19,37,19,26,4.9,13,5,0,4,13,6,0,96,18.8,745,11:38,radulal01
Sami Salo,200,2007,32,VAN,D,67,14,23,37,21,26,9.1,9,5,0,6,10,13,0,143,9.8,1437,21:27,salosa01
Jason Chimera,201,2007,27,CBJ,LW,82,15,21,36,2,91,3.3,11,2,2,2,19,2,0,151,9.9,1260,15:22,chimeja01
Jay McClement,202,2007,23,STL,C,81,8,28,36,3,55,2.5,8,0,0,0,25,1,2,104,7.7,1125,13:53,mccleja01
Scott Mellanby,203,2007,40,ATL,RW,69,12,24,36,-9,63,2.9,7,5,0,2,15,9,0,103,11.7,947,13:43,mellasc01
Éric Perrin,204,2007,31,TBL,C,82,13,23,36,-7,30,2.4,10,2,1,0,16,5,2,151,8.6,1394,17:00,perrier01
Wade Redden,205,2007,29,OTT,D,64,7,29,36,1,50,4.8,3,4,0,3,14,15,0,122,5.7,1466,22:54,reddewa01
Oleg Saprykin,206,2007,25,TOT,LW,71,15,21,36,5,58,3.8,13,2,0,2,19,2,0,150,10.0,885,12:28,sapryol01
Mark Streit,207,2007,29,MTL,D,76,10,26,36,-5,14,5.7,7,2,1,1,14,12,0,102,9.8,1065,14:01,streima01
Éric Bélanger,208,2007,29,TOT,C,80,17,18,35,-2,26,3.0,13,4,0,1,16,2,0,149,11.4,1299,16:15,belaner01
Kyle Calder,209,2007,28,TOT,LW,78,14,21,35,-25,58,2.0,9,3,2,2,14,7,0,130,10.8,1212,15:32,caldeky01
Chris Gratton,210,2007,31,FLA,C,81,13,22,35,1,94,3.0,12,1,0,1,21,1,0,131,9.9,980,12:06,grattch01
Trent Hunter,211,2007,26,NYI,RW,77,20,15,35,5,22,3.4,14,5,1,2,10,4,1,168,11.9,1232,16:00,huntetr01
Brett McLean,212,2007,28,COL,C,78,15,20,35,8,36,3.4,15,0,0,3,19,1,0,134,11.2,1063,13:38,mcleabr01
Andrej Meszároš,213,2007,21,OTT,D,82,7,28,35,-15,102,3.6,7,0,0,1,17,10,1,147,4.8,1778,21:41,meszaan01
Patrick Sharp,214,2007,25,CHI,RW,80,20,15,35,-15,74,2.8,12,5,3,1,14,0,1,160,12.5,1366,17:04,sharppa01
Alexander Steen,215,2007,22,TOR,C,82,15,20,35,5,26,2.7,11,4,0,5,16,3,1,192,7.8,1287,15:42,steenal01
Colby Armstrong,216,2007,24,PIT,RW,80,12,22,34,2,67,2.2,10,1,1,3,17,3,2,145,8.3,1346,16:50,armstco01
Rob Blake*,217,2007,37,LAK,D,72,14,20,34,-26,82,4.6,3,11,0,1,4,15,1,208,6.7,1757,24:24,blakero01
Ryane Clowe,218,2007,24,SJS,LW,58,16,18,34,4,78,4.1,12,4,0,3,15,3,0,93,17.2,765,13:11,clowery01
Ron Hainsey,219,2007,25,CBJ,D,80,9,25,34,-19,69,5.5,2,7,0,0,9,16,0,136,6.6,1831,22:53,hainsro01
Mikael Samuelsson,220,2007,30,DET,RW,53,14,20,34,1,28,3.6,8,6,0,2,12,8,0,189,7.4,803,15:09,samuemi01
Raffi Torres,221,2007,25,EDM,LW,82,15,19,34,-7,88,3.1,14,1,0,0,19,0,0,154,9.7,1175,14:19,torrera01
Nik Antropov,222,2007,26,TOR,C,54,18,15,33,8,44,3.7,14,4,0,4,14,1,0,125,14.4,896,16:36,antroni01
Erik Christensen,223,2007,23,PIT,C,61,18,15,33,-3,26,3.8,12,6,0,1,10,5,0,133,13.5,709,11:38,chriser01
Christian Ehrhoff,224,2007,24,SJS,D,82,10,23,33,8,63,7.3,4,6,0,2,11,12,0,164,6.1,1523,18:34,ehrhoch01
Mike Grier,225,2007,32,SJS,RW,81,16,17,33,-5,43,2.7,11,2,3,1,16,1,0,125,12.8,1332,16:26,griermi01
Glen Metropolit,226,2007,32,TOT,C,77,14,19,33,9,34,3.5,9,5,0,2,16,3,0,123,11.4,931,12:05,metrogl01
Steve Reinprecht,227,2007,30,PHX,C,49,9,24,33,-3,28,2.8,7,2,0,1,14,10,0,71,12.7,768,15:40,reinpst01
Martin Ručinský,228,2007,35,STL,LW,52,12,21,33,-3,48,2.9,8,4,0,3,14,7,0,96,12.5,870,16:43,rucinma01
Patrick Eaves,229,2007,22,OTT,RW,73,14,18,32,1,36,2.8,10,3,1,1,15,3,0,130,10.8,892,12:13,eavespa01
Ruslan Fedotenko,230,2007,28,TBL,LW,80,12,20,32,-3,52,2.2,10,2,0,1,16,4,0,154,7.8,1301,16:15,fedotru01
John Madden,231,2007,33,NJD,C,74,12,20,32,-7,14,2.2,12,0,0,1,15,3,2,153,7.8,1397,18:53,maddejo01
Matt Pettinger,232,2007,26,WSH,LW,64,16,16,32,-13,22,2.5,9,4,3,2,8,6,2,111,14.4,1081,16:53,pettima01
Mike Richards,233,2007,21,PHI,C,59,10,22,32,-12,52,2.0,5,1,4,3,17,5,0,130,7.7,1052,17:50,richami02
Ruslan Salei,234,2007,32,FLA,D,82,6,26,32,-13,102,4.0,4,2,0,0,8,18,0,148,4.1,1913,23:20,saleiru01
Jason Williams,235,2007,26,TOT,C,78,15,17,32,1,44,2.8,9,5,1,2,14,3,0,149,10.1,1203,15:26,willija01
Nikolai Zherdev,236,2007,22,CBJ,RW,71,10,22,32,-19,26,1.7,7,3,0,2,13,9,0,164,6.1,1152,16:13,zherdni01
Bates Battaglia,237,2007,31,TOR,LW,82,12,19,31,9,45,2.6,12,0,0,0,19,0,0,94,12.8,1021,12:27,battaba01
Steve Bernier,238,2007,21,SJS,RW,62,15,16,31,5,29,3.6,9,6,0,4,8,8,0,104,14.4,842,13:35,bernist01
Mike Johnson,239,2007,32,MTL,RW,80,11,20,31,6,40,2.6,8,1,2,1,17,2,1,131,8.4,1231,15:23,johnsmi01
Duncan Keith,240,2007,23,CHI,D,82,2,29,31,0,76,5.6,2,0,0,0,23,4,2,122,1.6,1935,23:36,keithdu01
Ryan Malone,241,2007,27,PIT,LW,64,16,15,31,4,71,3.0,14,1,1,0,10,4,1,125,12.8,1040,16:15,malonry01
Brenden Morrow,242,2007,28,DAL,LW,40,16,15,31,-2,33,3.7,8,8,0,3,11,4,0,101,15.8,731,18:16,morrobr01
Mattias Öhlund,243,2007,30,VAN,D,77,11,20,31,-3,80,7.0,5,6,0,2,11,9,0,170,6.5,1909,24:47,ohlunma01
Tony Amonte,244,2007,36,CGY,RW,81,10,20,30,-4,40,1.7,8,1,1,1,17,2,1,139,7.2,1146,14:09,amontto01
Matt Cooke,245,2007,28,VAN,LW,81,10,20,30,0,64,2.1,9,1,0,3,15,3,2,133,7.5,1264,15:37,cookema01
Johan Franzén,246,2007,27,DET,C,69,10,20,30,20,37,3.0,9,0,1,2,16,1,3,151,6.6,1076,15:35,franzjo01
Rostislav Olesz,247,2007,21,FLA,C,75,11,19,30,2,28,2.0,9,2,0,2,17,1,1,164,6.7,1163,15:30,oleszro01
Marek Svatoš,248,2007,24,COL,RW,66,15,15,30,1,46,3.1,7,8,0,2,12,3,0,179,8.4,825,12:30,svatoma01
Marek Židlický,249,2007,29,NSH,D,79,4,26,30,8,72,5.3,2,2,0,1,18,8,0,114,3.5,1558,19:43,zidlima01
Eric Brewer,250,2007,27,STL,D,82,6,23,29,-10,69,4.4,4,2,0,1,16,6,1,111,5.4,2011,24:32,breweer01
Mike Commodore,251,2007,27,CAR,D,82,7,22,29,0,113,5.3,5,0,2,1,18,1,3,136,5.1,1631,19:54,commomi01
Kris Draper,252,2007,35,DET,C,81,14,15,29,7,58,2.3,9,0,5,1,15,0,0,157,8.9,1357,16:45,drapekr01
Boyd Gordon,253,2007,23,WSH,RW,71,7,22,29,10,14,2.0,5,0,2,0,18,0,4,104,6.7,1127,15:53,gordobo01
Niklas Hagman,254,2007,27,DAL,LW,82,17,12,29,3,34,3.2,14,2,1,2,9,3,0,152,11.2,1183,14:26,hagmani01
Bobby Holík,255,2007,36,ATL,C,82,11,18,29,-3,86,1.6,8,2,1,1,16,2,0,190,5.8,1307,15:56,holikbo01
Ed Jovanovski,256,2007,30,PHX,D,54,11,18,29,-6,63,4.9,5,6,0,1,9,8,1,135,8.1,1250,23:09,jovaned01
Dmitri Kalinin,257,2007,26,BUF,D,82,7,22,29,19,36,5.0,6,0,1,0,19,3,0,86,8.1,1600,19:31,kalindm01
Phil Kessel,258,2007,19,BOS,RW,70,11,18,29,-12,12,2.0,10,1,0,0,14,4,0,170,6.5,984,14:04,kesseph01
Ian Laperrière,259,2007,33,COL,RW,81,8,21,29,5,133,1.8,8,0,0,0,20,0,1,118,6.8,1121,13:51,laperia01
Guillaume Latendresse,260,2007,19,MTL,RW,80,16,13,29,-20,47,2.2,11,5,0,3,8,5,0,121,13.2,1008,12:36,latengu01
Dean McAmmond,261,2007,33,OTT,LW,81,14,15,29,11,28,2.9,12,0,2,1,13,1,1,86,16.3,901,11:08,mcammde01
Teppo Numminen,262,2007,38,BUF,D,79,2,27,29,17,32,4.4,2,0,0,0,14,12,1,69,2.9,1643,20:48,nummite01
John Pohl,263,2007,27,TOR,C,74,13,16,29,-4,10,2.4,10,3,0,1,12,4,0,105,12.4,840,11:21,pohljo01
Geoff Sanderson,264,2007,34,PHI,LW,58,11,18,29,-16,44,2.1,8,3,0,2,13,4,1,143,7.7,811,13:59,sandege01
Jon Sim,265,2007,29,ATL,LW,77,17,12,29,-1,60,3.1,15,2,0,1,11,1,0,141,12.1,904,11:45,simjo01
Mike Van Ryn,266,2007,27,FLA,D,78,4,25,29,-5,64,4.0,3,1,0,0,15,9,1,121,3.3,1649,21:08,vanrymi01
François Beauchemin,267,2007,26,ANA,D,71,7,21,28,7,49,6.3,5,2,0,0,10,11,0,128,5.5,1809,25:28,beaucfr01
Anson Carter,268,2007,32,TOT,RW,64,11,17,28,-4,18,2.4,7,4,0,1,13,4,0,70,15.7,901,14:05,cartean01
Andy Hilbert,269,2007,25,NYI,C,81,8,20,28,10,34,2.2,8,0,0,1,19,0,1,164,4.9,931,11:30,hilbean01
Chad Kilger,270,2007,30,TOR,LW,82,14,14,28,-5,58,1.6,13,0,1,2,14,0,0,141,9.9,1189,14:30,kilgech01
Joffrey Lupul,271,2007,23,EDM,RW,81,16,12,28,-29,45,1.5,11,5,0,1,9,3,0,172,9.3,1263,15:36,lupuljo01
Zbyněk Michálek,272,2007,24,PHX,D,82,4,24,28,-20,34,3.6,1,3,0,0,11,11,2,144,2.8,1941,23:40,michazb01
Chris Neil,273,2007,27,OTT,RW,82,12,16,28,6,177,2.0,9,3,0,3,14,2,0,139,8.6,1076,13:08,neilch01
Joe Pavelski,274,2007,22,SJS,C,46,14,14,28,4,18,3.4,9,5,0,3,8,6,0,111,12.6,691,15:02,paveljo01
Fernando Pisani,275,2007,30,EDM,RW,77,14,14,28,-1,40,2.4,11,2,1,0,11,2,1,142,9.9,1301,16:54,pisanfe01
Brian Pothier,276,2007,29,WSH,D,72,3,25,28,-11,44,3.5,1,2,0,0,12,13,0,118,2.5,1727,23:59,pothibr01
Paul Ranger,277,2007,22,TBL,D,72,4,24,28,5,42,5.1,4,0,0,2,18,5,1,90,4.4,1463,20:19,rangepa01
Jeremy Roenick,278,2007,37,PHX,C,70,11,17,28,-18,32,1.5,7,4,0,1,13,4,0,89,12.4,973,13:54,roenije01
Brent Sopel,279,2007,30,TOT,D,64,5,23,28,2,24,5.1,3,2,0,2,16,6,1,131,3.8,1297,20:16,sopelbr01
R.J. Umberger,280,2007,24,PHI,C,81,16,12,28,-32,41,1.2,12,2,2,1,8,1,3,134,11.9,1178,14:32,umberrj01
Denis Arkhipov,281,2007,27,CHI,C,79,10,17,27,-13,54,1.2,7,2,1,1,9,4,4,112,8.9,1241,15:43,arkhide01
P.J. Axelsson,282,2007,31,BOS,LW,55,11,16,27,-10,52,1.7,6,3,2,0,9,7,0,81,13.6,1076,19:34,axelspj01
Keith Ballard,283,2007,24,PHX,D,69,5,22,27,-7,59,4.2,3,2,0,0,12,9,1,79,6.3,1518,22:00,ballake01
Ryan Craig,284,2007,25,TBL,C,72,14,13,27,-11,55,1.9,10,4,0,2,6,7,0,130,10.8,1104,15:20,craigry01
Dan Fritsche,285,2007,21,CBJ,C,59,12,15,27,3,35,2.8,6,5,1,4,12,3,0,81,14.8,828,14:02,fritsda01
Barret Jackman,286,2007,25,STL,D,70,3,24,27,20,82,5.8,2,1,0,1,22,1,1,86,3.5,1505,21:30,jackmba01
Jay Pandolfo,287,2007,32,NJD,LW,82,13,14,27,-5,8,1.7,12,0,1,1,13,0,1,109,11.9,1526,18:37,pandoja01
Chris Simon,288,2007,35,NYI,LW,67,10,17,27,17,75,3.0,8,2,0,0,15,2,0,82,12.2,737,11:00,simonch01
Drew Stafford,289,2007,21,BUF,RW,41,13,14,27,5,33,3.0,10,3,0,3,13,1,0,67,19.4,539,13:08,staffdr01
Cory Stillman,290,2007,33,CAR,LW,43,5,22,27,-8,24,1.7,4,1,0,0,10,12,0,85,5.9,749,17:25,stillco01
Kris Beech,291,2007,25,WSH,C,64,8,18,26,-11,46,1.6,5,3,0,0,10,8,0,77,10.4,798,12:28,beechkr01
Vernon Fiddler,292,2007,26,NSH,C,72,11,15,26,11,40,2.3,10,0,1,1,15,0,0,90,12.2,981,13:38,fiddlve01
Eric Lindros*,293,2007,33,DAL,RW,49,5,21,26,-1,70,2.1,4,1,0,0,14,7,0,95,5.3,718,14:39,lindrer01
Paul Martin,294,2007,25,NJD,D,82,3,23,26,-9,18,6.0,2,1,0,0,18,5,0,84,3.6,2068,25:13,martipa01
Samuel Påhlsson,295,2007,29,ANA,C,82,8,18,26,-4,42,0.8,8,0,0,1,18,0,0,111,7.2,1424,17:22,pahlssa01
Richard Park,296,2007,30,NYI,RW,82,10,16,26,4,33,1.9,8,0,2,2,15,0,1,93,10.8,955,11:39,parkri01
Chris Phillips,297,2007,28,OTT,D,82,8,18,26,36,80,6.8,7,0,1,3,14,0,4,94,8.5,1833,22:22,phillch02
Karel Rachůnek,298,2007,27,NYR,D,66,6,20,26,-9,38,4.2,1,4,1,1,9,11,0,99,6.1,1279,19:23,rachuka01
Sergei Samsonov,299,2007,28,MTL,LW,63,9,17,26,-4,10,2.0,9,0,0,0,13,4,0,114,7.9,881,13:59,samsose01
Marc-Édouard Vlasic,300,2007,19,SJS,D,81,3,23,26,13,18,6.6,1,2,0,0,12,10,1,66,4.5,1798,22:12,vlasima01
Ian White,301,2007,22,TOR,D,76,3,23,26,8,40,4.2,2,1,0,1,18,5,0,138,2.2,1408,18:32,whiteia01
Bryan Allen,302,2007,26,FLA,D,82,4,21,25,7,112,4.6,4,0,0,0,18,2,1,99,4.0,1771,21:36,allenbr01
Stu Barnes,303,2007,36,DAL,C,82,13,12,25,-2,40,2.0,12,1,0,2,11,0,1,118,11.0,1320,16:06,barnest01
Brent Burns,304,2007,21,MIN,D,77,7,18,25,16,26,6.6,4,3,0,3,13,4,1,108,6.5,1216,15:48,burnsbr01
Jeff Halpern,305,2007,30,DAL,C,76,8,17,25,-7,78,1.3,7,1,0,4,14,3,0,106,7.5,1277,16:48,halpeje01
Sean Hill,306,2007,36,NYI,D,81,1,24,25,6,110,4.3,1,0,0,0,12,12,0,88,1.1,1826,22:33,hillse01
Jiří Hudler,307,2007,23,DET,C,76,15,10,25,16,36,3.4,12,3,0,4,8,2,0,107,14.0,763,10:02,hudleji01
Sami Kapanen,308,2007,33,PHI,RW,77,11,14,25,-21,22,0.6,8,1,2,1,11,1,2,129,8.5,1307,16:58,kapansa01
Juraj Kolník,309,2007,26,FLA,RW,64,11,14,25,2,18,2.3,11,0,0,1,12,2,0,113,9.7,774,12:05,kolniju01
Trevor Linden,310,2007,36,VAN,C,80,12,13,25,-6,34,2.0,7,5,0,1,11,2,0,92,13.0,987,12:20,lindetr01
Manny Malhotra,311,2007,26,CBJ,C,82,9,16,25,-8,76,1.2,7,2,0,3,16,0,0,109,8.3,1214,14:48,malhoma01
Antti Miettinen,312,2007,26,DAL,RW,74,11,14,25,-5,38,2.0,5,6,0,1,12,2,0,141,7.8,1060,14:20,miettan01
Derek Morris,313,2007,28,PHX,D,82,6,19,25,-18,115,3.4,4,2,0,1,9,10,0,129,4.7,1680,20:29,morride01
Christoph Schubert,314,2007,24,OTT,D,80,8,17,25,30,56,6.0,7,1,0,1,16,1,0,97,8.2,898,11:13,schubch01
Dennis Wideman,315,2007,23,TOT,D,75,6,19,25,-10,71,3.7,2,4,0,1,8,11,0,122,4.9,1458,19:26,widemde01
Brandon Bochenski,316,2007,24,TOT,RW,41,13,11,24,1,16,2.9,10,3,0,2,9,2,0,92,14.1,564,13:46,bochebr01
Greg de Vries,317,2007,34,ATL,D,82,3,21,24,-3,66,3.9,3,0,0,0,12,9,0,102,2.9,1824,22:14,devrigr01
Scott Hannan,318,2007,28,SJS,D,79,4,20,24,1,38,5.6,3,0,1,1,15,5,0,79,5.1,1803,22:49,hannasc01
Jamie Heward,319,2007,35,TOT,D,71,6,18,24,2,47,4.2,3,3,0,1,10,7,1,75,8.0,1226,17:16,hewarja01
Martin Lapointe,320,2007,33,CHI,RW,82,13,11,24,-14,98,1.3,7,5,1,2,10,1,0,102,12.7,1147,13:59,lapoima01
Georges Laraque,321,2007,30,TOT,RW,73,5,19,24,4,70,1.9,4,1,0,0,17,2,0,44,11.4,705,9:39,laraqge01
Nathan Paetsch,322,2007,23,BUF,D,63,2,22,24,10,50,3.4,2,0,0,0,13,9,0,62,3.2,961,15:15,paetsna01
Branko Radivojevič,323,2007,26,MIN,RW,82,11,13,24,-9,21,1.7,7,4,0,3,9,4,0,116,9.5,1064,12:59,radivbr01
Craig Rivet,324,2007,32,TOT,D,71,7,17,24,1,69,5.2,5,2,0,0,7,9,1,89,7.9,1537,21:39,rivetcr01
Brent Seabrook,325,2007,21,CHI,D,81,4,20,24,-6,104,4.3,4,0,0,0,14,4,2,144,2.8,1683,20:46,seabrbr01
Ryan Suter,326,2007,22,NSH,D,82,8,16,24,10,54,5.4,7,1,0,0,6,8,2,87,9.2,1652,20:09,suterry01
Maxime Talbot,327,2007,22,PIT,C,75,13,11,24,-2,53,1.7,9,0,4,4,10,1,0,88,14.8,1042,13:54,talboma01
Wes Walz,328,2007,36,MIN,C,62,9,15,24,3,30,2.2,8,0,1,1,15,0,0,77,11.7,923,14:53,walzwe01
Stéphane Yelle,329,2007,32,CGY,C,56,10,14,24,5,32,2.1,8,1,1,1,12,0,2,55,18.2,819,14:37,yellest01
Nikita Alexeev,330,2007,25,TOT,RW,78,12,11,23,7,12,2.0,10,2,0,2,9,2,0,117,10.3,1075,13:47,alexeni01
Arron Asham,331,2007,28,NYI,RW,80,11,12,23,3,63,2.1,11,0,0,2,10,2,0,85,12.9,746,9:20,ashamar01
David Backes,332,2007,22,STL,C,49,10,13,23,6,37,2.4,8,2,0,2,12,1,0,89,11.2,657,13:25,backeda01
Radek Bonk,333,2007,31,MTL,C,74,13,10,23,0,54,1.8,10,1,2,1,8,1,1,111,11.7,1174,15:52,bonkra01
Jan Bulis,334,2007,28,VAN,C,79,12,11,23,-8,70,1.5,10,1,1,2,9,2,0,122,9.8,1136,14:23,bulisja01
Anders Eriksson,335,2007,32,CBJ,D,79,0,23,23,12,46,5.5,0,0,0,0,14,8,1,78,0.0,1596,20:12,eriksan01
Kurtis Foster,336,2007,25,MIN,D,57,3,20,23,-3,52,4.1,3,0,0,0,7,13,0,135,2.2,1025,17:59,fosteku01
Paul Mara,337,2007,27,TOT,D,78,5,18,23,-16,113,3.6,4,1,0,0,5,13,0,100,5.0,1726,22:08,marapa01
Todd Marchant,338,2007,33,ANA,C,56,8,15,23,7,44,2.0,5,0,3,2,15,0,0,115,7.0,850,15:10,marchto01
Mike Zigomanis,339,2007,26,PHX,C,75,14,9,23,-8,46,1.5,11,2,1,0,8,1,0,142,9.9,1116,14:53,zigommi01
Paul Gaustad,340,2007,24,BUF,C,54,9,13,22,11,74,1.9,6,3,0,0,7,5,1,75,12.0,719,13:19,gaustpa01
Kim Johnsson,341,2007,30,MIN,D,76,3,19,22,-4,64,5.2,0,3,0,0,9,10,0,98,3.1,1790,23:33,johnski01
Randy Jones,342,2007,25,PHI,D,66,4,18,22,-14,38,2.8,4,0,0,0,12,5,1,67,6.0,1062,16:06,jonesra01
Niko Kapanen,343,2007,28,TOT,C,79,6,16,22,-23,28,0.2,4,2,0,1,11,5,0,79,7.6,979,12:24,kapanni01
Rostislav Klesla,344,2007,24,CBJ,D,75,9,13,22,-13,105,4.6,7,2,0,0,10,3,0,159,5.7,1718,22:54,kleslro01
Tom Kostopoulos,345,2007,28,LAK,RW,76,7,15,22,-2,73,1.3,7,0,0,0,14,0,1,90,7.8,879,11:34,kostoto01
Niklas Kronwall,346,2007,26,DET,D,68,1,21,22,0,54,3.8,0,1,0,0,16,5,0,104,1.0,1404,20:39,kronwni01
Jamal Mayers,347,2007,32,STL,RW,80,8,14,22,-19,89,0.1,6,0,2,0,14,0,0,129,6.2,1170,14:37,mayerja01
Alexandre Picard,348,2007,21,PHI,D,62,3,19,22,-19,17,2.4,2,1,0,0,13,6,0,56,5.4,1146,18:29,picaral01
Wayne Primeau,349,2007,30,TOT,C,78,10,12,22,-17,111,0.8,6,2,2,3,11,1,0,107,9.3,1056,13:33,primewa01
Brad Richardson,350,2007,21,COL,RW,73,14,8,22,4,28,2.0,11,0,3,3,8,0,0,129,10.9,961,13:10,richabr02
Patrick Rissmiller,351,2007,28,SJS,C,79,7,15,22,1,22,1.5,6,1,0,0,12,2,1,100,7.0,961,12:10,rissmpa01
Brad Stuart,352,2007,27,TOT,D,75,7,15,22,-10,44,3.8,6,1,0,2,13,1,1,109,6.4,1716,22:53,stuarbr02
Josef Vašíček,353,2007,26,TOT,C,63,6,16,22,-5,51,1.1,6,0,0,0,12,3,1,77,7.8,843,13:23,vasicjo01
Dmitry Afanasenkov,354,2007,26,TOT,LW,74,11,10,21,-25,20,1.0,11,0,0,0,10,0,0,96,11.5,779,10:31,afanadm01
Mark Bell,355,2007,26,SJS,LW,71,11,10,21,-9,83,1.5,8,3,0,2,6,4,0,116,9.5,920,12:57,bellma01
Niclas Hävelid,356,2007,33,ATL,D,77,3,18,21,-2,52,3.7,2,1,0,1,10,7,1,82,3.7,1946,25:16,havelni01
Pavel Kubina,357,2007,29,TOR,D,61,7,14,21,7,48,4.0,3,4,0,1,10,4,0,97,7.2,1300,21:19,kubinpa01
Andrew Ladd,358,2007,21,CAR,LW,65,11,10,21,1,46,2.1,9,2,0,3,9,1,0,109,10.1,728,11:12,laddan01
Marek Malík,359,2007,31,NYR,D,69,2,19,21,32,70,6.6,2,0,0,0,16,1,2,57,3.5,1329,19:16,malikma01
Travis Moen,360,2007,24,ANA,LW,82,11,10,21,-4,101,1.0,11,0,0,0,9,0,1,124,8.9,1214,14:48,moentr01
Robyn Regehr,361,2007,26,CGY,D,78,2,19,21,27,75,5.4,2,0,0,0,12,5,2,66,3.0,1709,21:55,regehro01
Steve Rucchin,362,2007,35,ATL,C,47,5,16,21,-4,14,0.9,4,1,0,1,12,3,1,56,8.9,862,18:20,rucchst01
Jaroslav Špaček,363,2007,32,BUF,D,65,5,16,21,20,62,4.1,4,1,0,2,8,8,0,78,6.4,1245,19:09,spaceja01
Darryl Sydor,364,2007,34,DAL,D,74,5,16,21,-4,36,5.0,3,2,0,1,12,4,0,75,6.7,1491,20:09,sydorda01
Brian Willsie,365,2007,28,LAK,RW,81,11,10,21,-20,49,0.5,9,2,0,1,8,2,0,131,8.4,1084,13:23,willsbr01
Mike York,366,2007,29,TOT,LW,66,10,11,21,-18,22,0.9,8,2,0,2,10,1,0,87,11.5,825,12:30,yorkmi01
Richard Zedník,367,2007,31,TOT,LW,42,7,14,21,-6,18,1.5,6,1,0,1,9,5,0,83,8.4,631,15:01,zedniri01
Curtis Brown,368,2007,30,SJS,C,78,8,12,20,-2,56,1.2,6,0,2,3,10,1,1,84,9.5,1027,13:10,browncu01
Ben Clymer,369,2007,28,WSH,D,66,7,13,20,-17,44,2.1,7,0,0,0,6,7,0,78,9.0,920,13:57,clymebe01
Hal Gill,370,2007,31,TOR,D,82,6,14,20,11,91,4.2,6,0,0,1,13,0,1,79,7.6,1549,18:53,gillha01
Dan Hamhuis,371,2007,24,NSH,D,81,6,14,20,8,66,4.7,6,0,0,1,14,0,0,84,7.1,1728,21:20,hamhuda01
Petteri Nummelin,372,2007,34,MIN,D,51,3,17,20,-15,22,2.9,3,0,0,0,4,13,0,69,4.3,1035,20:17,nummepe01
Marty Reasoner,373,2007,29,EDM,C,72,6,14,20,-15,60,0.6,6,0,0,1,12,0,2,84,7.1,999,13:52,reasoma01
Gilbert Brulé,374,2007,20,CBJ,C,78,9,10,19,-21,28,0.7,6,3,0,0,6,4,0,98,9.2,830,10:39,brulegi01
Boyd Devereaux,375,2007,28,TOR,C,33,8,11,19,4,12,1.9,8,0,0,0,10,1,0,57,14.0,504,15:17,deverbo01
Pascal Dupuis,376,2007,27,TOT,LW,71,14,5,19,-17,42,1.0,10,2,2,1,3,1,1,156,9.0,1103,15:32,dupuipa01
Loui Eriksson,377,2007,21,DAL,LW,59,6,13,19,-3,18,1.3,4,2,0,0,10,3,0,78,7.7,778,13:11,erikslo01
Ken Klee,378,2007,35,COL,D,81,3,16,19,18,68,4.8,3,0,0,0,15,0,1,90,3.3,1671,20:38,kleeke01
Chuck Kobasew,379,2007,24,TOT,RW,50,5,14,19,1,62,1.1,3,2,0,1,8,6,0,93,5.4,717,14:20,kobasch01
Mike Komisarek,380,2007,25,MTL,D,82,4,15,19,7,96,4.8,2,0,2,1,13,0,2,78,5.1,1580,19:16,komismi01
Toni Lydman,381,2007,29,BUF,D,67,2,17,19,10,55,2.8,2,0,0,1,14,2,1,44,4.5,1380,20:36,lydmato01
Jiří Novotný,382,2007,23,TOT,C,68,6,13,19,-4,28,0.5,6,0,0,0,13,0,0,79,7.6,879,12:56,novotji01
Patrick O'Sullivan,383,2007,21,LAK,C,44,5,14,19,-6,14,1.1,3,2,0,1,7,7,0,92,5.4,619,14:04,osullpa01
Travis Roche,384,2007,28,PHX,D,50,6,13,19,2,22,3.6,4,2,0,1,6,7,0,32,18.8,851,17:01,rochetr01
Jim Slater,385,2007,24,ATL,C,74,5,14,19,8,62,1.4,5,0,0,2,13,1,0,90,5.6,757,10:14,slateji01
Anton Volchenkov,386,2007,24,OTT,D,78,1,18,19,37,67,5.4,1,0,0,0,13,1,4,85,1.2,1660,21:17,volchan01
Jason Ward,387,2007,28,TOT,RW,70,8,11,19,-15,40,0.7,7,0,1,1,9,1,1,108,7.4,883,12:37,wardja01
Christian Bäckman,388,2007,26,STL,D,61,7,11,18,13,36,4.7,6,1,0,0,8,3,0,80,8.8,1352,22:10,backmch01
Marcel Hossa,389,2007,25,NYR,LW,64,10,8,18,-4,26,1.4,7,3,0,2,6,1,1,83,12.0,797,12:27,hossama02
